學年別,學門別,總計計,總計男,總計女,五專(含七年)計,五專(含七年)男,五專(含七年)女,二專計,二專男,二專女,學士後學士學位計,學士後學士學位男,學士後學士學位女,大學二年制(含二技)計,大學二年制(含二技)男,大學二年制(含二技)女,大學四年制(含四技)計,大學四年制(含四技)男,大學四年制(含四技)女,碩士班計,碩士班男,碩士班女,博士班計,博士班男,博士班女
104學年,自然科學學門,21645,15828,5817,-,-,-,-,-,-,-,-,-,-,-,-,15098,11061,4037,4819,3412,1407,1728,1355,373
104學年,數學及統計學門,14679,9988,4691,-,-,-,-,-,-,-,-,-,-,-,-,12507,8458,4049,1957,1350,607,215,180,35
104學年,電算機學門,21114,13365,7749,403,203,200,9,4,5,-,-,-,-,-,-,16855,10550,6305,3550,2394,1156,297,214,83
104學年,工程學門,124452,103064,21388,-,-,-,-,-,-,66,60,6,-,-,-,85854,70823,15031,31035,25650,5385,7497,6531,966
104學年,建築及都市規劃學門,10070,5273,4797,-,-,-,-,-,-,-,-,-,-,-,-,8133,4210,3923,1765,948,817,172,115,57
104學年,農業科學學門,14877,7415,7462,-,-,-,-,-,-,-,-,-,-,-,-,11667,5706,5961,2611,1344,1267,599,365,234
104學年,獸醫學門,1257,621,636,-,-,-,-,-,-,-,-,-,-,-,-,941,465,476,222,100,122,94,56,38
104學年,醫藥衛生學門,47991,20657,27334,1160,100,1060,63,39,24,25,13,12,868,134,734,36938,16476,20462,5576,1995,3581,3361,1900,1461
104學年,社會服務學門,9800,2314,7486,295,7,288,326,28,298,-,-,-,81,19,62,7575,1904,5671,1408,310,1098,115,46,69
104學年,民生學門,40709,18619,22090,-,-,-,-,-,-,-,-,-,100,67,33,36905,16842,20063,3588,1638,1950,116,72,44
104學年,運輸服務學門,5941,3277,2664,-,-,-,-,-,-,68,65,3,-,-,-,5014,2717,2297,777,434,343,82,61,21
104學年,環境保護學門,989,515,474,-,-,-,-,-,-,-,-,-,-,-,-,687,365,322,256,126,130,46,24,22
104學年,軍警國防安全學門,27,21,6,-,-,-,-,-,-,-,-,-,-,-,-,27,21,6,-,-,-,-,-,-
104學年,其他學門,809,401,408,-,-,-,-,-,-,-,-,-,-,-,-,773,391,382,29,6,23,7,4,3
103學年,總計,680848,347976,332872,249,96,153,-,-,-,212,169,43,2288,693,1595,513500,254523,258977,137331,73985,63346,27268,18510,8758
103學年,教育學門,36823,12756,24067,-,-,-,-,-,-,-,-,-,24,5,19,20310,7133,13177,13823,4303,9520,2666,1315,1351
