學年別,年齡別,總計計小計,總計計男,總計計女,總計1年級小計,總計1年級男,總計1年級女,總計2年級小計,總計2年級男,總計2年級女,總計3年級小計,總計3年級男,總計3年級女,總計4年級小計,總計4年級男,總計4年級女,總計5年級小計,總計5年級男,總計5年級女,總計6年級小計,總計6年級男,總計6年級女,總計7年級小計,總計7年級男,總計7年級女,總計延修生小計,總計延修生男,總計延修生女,五專計小計,五專計男,五專計女,五專1年級小計,五專1年級男,五專1年級女,五專2年級小計,五專2年級男,五專2年級女,五專3年級小計,五專3年級男,五專3年級女,五專4年級小計,五專4年級男,五專4年級女,五專5年級小計,五專5年級男,五專5年級女,五專6年級小計,五專6年級男,五專6年級女,五專7年級小計,五專7年級男,五專7年級女,五專延修生小計,五專延修生男,五專延修生女,二專計小計,二專計男,二專計女,二專1年級小計,二專1年級男,二專1年級女,二專2年級小計,二專2年級男,二專2年級女,二專3年級小計,二專3年級男,二專3年級女,二專4年級小計,二專4年級男,二專4年級女,二專5年級小計,二專5年級男,二專5年級女,二專6年級小計,二專6年級男,二專6年級女,二專7年級小計,二專7年級男,二專7年級女,二專延修生小計,二專延修生男,二專延修生女,學士班計小計,學士班計男,學士班計女,學士班1年級小計,學士班1年級男,學士班1年級女,學士班2年級小計,學士班2年級男,學士班2年級女,學士班3年級小計,學士班3年級男,學士班3年級女,學士班4年級小計,學士班4年級男,學士班4年級女,學士班5年級小計,學士班5年級男,學士班5年級女,學士班6年級小計,學士班6年級男,學士班6年級女,學士班7年級小計,學士班7年級男,學士班7年級女,學士班延修生小計,學士班延修生男,學士班延修生女,碩士班計小計,碩士班計男,碩士班計女,碩士班1年級小計,碩士班1年級男,碩士班1年級女,碩士班2年級小計,碩士班2年級男,碩士班2年級女,碩士班3年級小計,碩士班3年級男,碩士班3年級女,碩士班4年級小計,碩士班4年級男,碩士班4年級女,碩士班5年級小計,碩士班5年級男,碩士班5年級女,碩士班6年級小計,碩士班6年級男,碩士班6年級女,碩士班7年級小計,碩士班7年級男,碩士班7年級女,碩士班延修生小計,碩士班延修生男,碩士班延修生女,博士班計小計,博士班計男,博士班計女,博士班1年級小計,博士班1年級男,博士班1年級女,博士班2年級小計,博士班2年級男,博士班2年級女,博士班3年級小計,博士班3年級男,博士班3年級女,博士班4年級小計,博士班4年級男,博士班4年級女,博士班5年級小計,博士班5年級男,博士班5年級女,博士班6年級小計,博士班6年級男,博士班6年級女,博士班7年級小計,博士班7年級男,博士班7年級女,博士班延修生小計,博士班延修生男,博士班延修生女
99學年,總計,1343603,681054,662549,349117,180715,168402,328293,169386,158907,298711,146078,152633,274228,132695,141533,29663,10649,19014,5920,3999,1921,4309,3043,1266,53362,34489,18873,86971,21975,64996,18980,4652,14328,17747,4483,13264,16700,4305,12395,16496,4102,12394,14864,3568,11296,-,-,-,-,-,-,2184,865,1319,15818,7580,8238,6386,3042,3344,6793,3023,3770,621,225,396,24,16,8,-,-,-,-,-,-,-,-,-,1994,1274,720,1021636,522307,499329,246274,127318,118956,231572,119511,112061,251807,125116,126691,239547,118252,121295,8682,2997,5685,1737,1104,633,1430,951,479,40587,27058,13529,185000,104894,80106,70866,41006,29860,66100,38048,28052,24198,12669,11529,13086,6719,6367,1797,1024,773,824,458,366,17,5,12,8112,4965,3147,34178,24298,9880,6611,4697,1914,6081,4321,1760,5385,3763,1622,5075,3606,1469,4320,3060,1260,3359,2437,922,2862,2087,775,485,327,158
99學年,未滿16歲,16121,3818,12303,16006,3772,12234,115,46,69,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,16121,3818,12303,16006,3772,12234,115,46,69,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
99學年,16至未滿17歲,17490,4247,13243,2609,758,1851,14753,3454,11299,128,35,93,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,17483,4244,13239,2602,755,1847,14753,3454,11299,128,35,93,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7,3,4,7,3,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
99學年,17至未滿18歲,17792,4754,13038,1640,668,972,2464,812,1652,13558,3245,10313,130,29,101,-,-,-,-,-,-,-,-,-,-,-,-,16443,4166,12277,302,86,216,2453,806,1647,13558,3245,10313,130,29,101,-,-,-,-,-,-,-,-,-,-,-,-,16,6,10,16,6,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1333,582,751,1322,576,746,11,6,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
99學年,18至未滿19歲,191082,92102,98980,173444,87469,85975,1523,669,854,2462,823,1639,13558,3128,10430,95,13,82,-,-,-,-,-,-,-,-,-,16479,4096,12383,41,24,17,330,114,216,2456,818,1638,13557,3127,10430,95,13,82,-,-,-,-,-,-,-,-,-,2205,1077,1128,2180,1068,1112,25,9,16,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,172398,86929,85469,171223,86377,84846,1168,546,622,6,5,1,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
99學年,19至未滿20歲,225695,110526,115169,49134,26152,22982,158884,79534,79350,2968,1252,1716,2410,795,1615,12264,2771,9493,-,-,-,-,-,-,35,22,13,15219,3777,11442,9,6,3,60,43,17,457,151,306,2402,790,1612,12264,2771,9493,-,-,-,-,-,-,27,16,11,3405,1612,1793,886,493,393,2510,1113,1397,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,8,6,2,207070,105137,101933,48238,25653,22585,156314,78378,77936,2510,1101,1409,8,5,3,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
99學年,20至未滿21歲,228646,113618,115028,9888,5641,4247,50570,26876,23694,161202,78430,82772,3028,1192,1836,2185,695,1490,-,-,-,-,-,-,1773,784,989,3838,1323,2515,6,3,3,12,6,6,63,37,26,314,111,203,2183,693,1490,-,-,-,-,-,-,1260,473,787,2214,1101,1113,366,163,203,1144,591,553,191,36,155,-,-,-,-,-,-,-,-,-,-,-,-,513,311,202,222581,111188,111393,9503,5469,4034,49414,26279,23135,160948,78357,82591,2714,1081,1633,2,2,-,-,-,-,-,-,-,-,-,-,13,6,7,13,6,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
99學年,21至未滿22歲,208283,102945,105338,4382,2475,1907,10338,5916,4422,48737,25193,23544,143214,68577,74637,281,82,199,2,1,1,-,-,-,1329,701,628,893,332,561,6,2,4,6,3,3,15,7,8,51,21,30,237,57,180,-,-,-,-,-,-,578,242,336,1257,644,613,232,109,123,451,195,256,75,32,43,-,-,-,-,-,-,-,-,-,-,-,-,499,308,191,205826,101790,104036,3847,2190,1657,9873,5714,4159,48646,25154,23492,143162,68555,74607,44,25,19,2,1,1,-,-,-,252,151,101,305,177,128,296,173,123,8,4,4,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2,-,1,1,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-
99學年,22至未滿23歲,114044,64624,49420,22674,14168,8506,4699,2740,1959,12346,6689,5657,54119,28216,25903,2169,972,1197,24,11,13,-,-,-,18013,11828,6185,292,121,171,2,2,-,1,-,1,8,3,5,20,8,12,50,20,30,-,-,-,-,-,-,211,88,123,822,461,361,181,103,78,266,123,143,40,15,25,-,-,-,-,-,-,-,-,-,-,-,-,335,220,115,92322,51111,41211,2171,1299,872,4146,2450,1696,12296,6671,5625,54099,28208,25891,2119,952,1167,24,11,13,-,-,-,17467,11520,5947,20581,12913,7668,20295,12747,7548,284,166,118,2,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,27,18,9,25,17,8,2,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
99學年,23至未滿24歲,64779,39189,25590,13616,8334,5282,20387,12652,7735,5201,2823,2378,12390,6905,5485,1451,648,803,679,437,242,26,19,7,11029,7371,3658,110,51,59,1,-,1,5,5,-,6,5,1,9,4,5,17,9,8,-,-,-,-,-,-,72,28,44,528,303,225,147,78,69,175,85,90,15,5,10,1,1,-,-,-,-,-,-,-,-,-,-,190,134,56,34035,20165,13870,1522,898,624,2144,1295,849,5100,2775,2325,12379,6899,5480,1434,639,795,679,437,242,26,19,7,10751,7203,3548,29890,18505,11385,11764,7220,4544,18029,11240,6789,80,38,42,1,1,-,-,-,-,-,-,-,-,-,-,16,6,10,216,165,51,182,138,44,34,27,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
99學年,24至未滿25歲,39942,24166,15776,7322,4580,2742,12901,7945,4956,7046,3966,3080,5140,2803,2337,707,264,443,517,312,205,489,315,174,5820,3981,1839,36,18,18,-,-,-,1,1,-,3,2,1,4,4,-,10,3,7,-,-,-,-,-,-,18,8,10,415,234,181,128,65,63,152,74,78,16,9,7,-,-,-,-,-,-,-,-,-,-,-,-,119,86,33,17096,10157,6939,1108,672,436,1434,905,529,3031,1696,1335,5106,2784,2322,697,261,436,517,312,205,489,315,174,4714,3212,1502,21463,13030,8433,5364,3281,2083,11130,6821,4309,3971,2239,1732,29,14,15,-,-,-,-,-,-,-,-,-,969,675,294,932,727,205,722,562,160,184,144,40,25,20,5,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-
99學年,25至未滿26歲,29233,17318,11915,5148,3219,1929,7868,4866,3002,6634,3778,2856,4773,2503,2270,525,127,398,224,152,72,459,296,163,3602,2377,1225,17,10,7,-,-,-,1,1,-,1,1,-,3,3,-,3,-,3,-,-,-,-,-,-,9,5,4,393,222,171,138,80,58,170,89,81,20,5,15,-,-,-,-,-,-,-,-,-,-,-,-,65,48,17,11948,6977,4971,985,630,355,1195,754,441,2562,1471,1091,3482,1867,1615,522,127,395,224,152,72,459,296,163,2519,1680,839,15187,8810,6377,3311,1970,1341,5726,3411,2315,3876,2167,1709,1265,618,647,-,-,-,-,-,-,-,-,-,1009,644,365,1688,1299,389,714,539,175,776,611,165,175,134,41,23,15,8,-,-,-,-,-,-,-,-,-,-,-,-
99學年,26至未滿27歲,21853,12706,9147,4265,2454,1811,5171,3134,2037,4949,2833,2116,4596,2509,2087,407,114,293,77,49,28,174,120,54,2214,1493,721,10,5,5,1,-,1,4,1,3,-,-,-,1,1,-,1,1,-,-,-,-,-,-,-,3,2,1,395,216,179,150,88,62,159,73,86,27,13,14,-,-,-,-,-,-,-,-,-,-,-,-,59,42,17,8928,5239,3689,931,585,346,915,577,338,2146,1181,965,2840,1612,1228,383,97,286,77,49,28,174,120,54,1462,1018,444,10427,5700,4727,2592,1379,1213,3434,1993,1441,2135,1142,993,1571,753,818,7,3,4,-,-,-,-,-,-,688,430,258,2093,1546,547,591,402,189,659,490,169,641,497,144,184,143,41,16,13,3,-,-,-,-,-,-,2,1,1
99學年,27至未滿28歲,17797,10243,7554,3514,1975,1539,3853,2250,1603,3937,2225,1712,4337,2520,1817,526,199,327,56,25,31,63,38,25,1511,1011,500,7,2,5,-,-,-,1,1,-,1,-,1,-,-,-,3,1,2,-,-,-,-,-,-,2,-,2,336,183,153,124,67,57,133,61,72,24,16,8,-,-,-,-,-,-,-,-,-,-,-,-,55,39,16,7342,4234,3108,787,481,306,784,505,279,1912,1023,889,2402,1370,1032,365,82,283,54,25,29,62,38,24,976,710,266,7640,3977,3663,2099,1082,1017,2422,1317,1105,1371,706,665,1274,619,655,9,2,7,-,-,-,-,-,-,465,251,214,2472,1847,625,504,345,159,513,366,147,629,480,149,661,531,130,149,114,35,2,-,2,1,-,1,13,11,2
99學年,28至未滿29歲,15510,8788,6722,3019,1734,1285,3319,1892,1427,3386,1800,1586,3569,1947,1622,943,540,403,184,144,40,54,41,13,1036,690,346,8,4,4,1,-,1,1,-,1,-,-,-,2,2,-,1,-,1,-,-,-,-,-,-,3,2,1,362,201,161,145,85,60,159,85,74,27,13,14,1,-,1,-,-,-,-,-,-,-,-,-,30,18,12,6106,3413,2693,623,397,226,647,413,234,1691,902,789,1998,1055,943,407,104,303,68,52,16,49,38,11,623,452,171,6605,3358,3247,1885,1003,882,2085,1092,993,1206,563,643,1054,490,564,12,5,7,1,1,-,-,-,-,362,204,158,2429,1812,617,365,249,116,427,302,125,462,322,140,514,400,114,523,431,92,115,91,24,5,3,2,18,14,4
99學年,29至未滿30歲,14252,7903,6349,2906,1637,1269,2914,1606,1308,3031,1565,1466,3107,1623,1484,934,523,411,426,342,84,106,90,16,828,517,311,7,3,4,1,-,1,2,1,1,3,1,2,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,325,155,170,140,67,73,148,72,76,15,6,9,1,-,1,-,-,-,-,-,-,-,-,-,21,10,11,5379,2909,2470,600,386,214,483,291,192,1468,787,681,1885,948,937,390,112,278,35,23,12,40,31,9,478,331,147,6105,3024,3081,1846,962,884,1924,987,937,1179,520,659,805,380,425,37,12,25,2,2,-,-,-,-,312,161,151,2436,1812,624,319,222,97,357,255,102,366,251,115,416,295,121,507,399,108,389,317,72,66,59,7,16,14,2
99學年,30歲以上,121084,64107,56977,29550,15679,13871,28534,14994,13540,23126,11421,11705,19857,9948,9909,7176,3701,3475,3731,2526,1205,2938,2124,814,6172,3714,2458,8,5,3,2,2,-,2,1,1,1,-,1,3,2,1,-,-,-,-,-,-,-,-,-,-,-,-,3145,1165,1980,1553,570,983,1301,453,848,170,75,95,21,15,6,-,-,-,-,-,-,-,-,-,100,52,48,29265,12473,16792,3407,1702,1705,3044,1398,1646,9491,3993,5498,9471,3867,5604,2319,596,1723,57,42,15,131,94,37,1345,781,564,66783,35394,31389,21400,11183,10217,21058,11017,10041,10377,5294,5083,7087,3844,3243,1732,1002,730,821,455,366,17,5,12,4291,2594,1697,21883,15070,6813,3188,2222,966,3129,2125,1004,3087,2059,1028,3275,2220,1055,3125,2103,1022,2853,2029,824,2790,2025,765,436,287,149
98學年,總計,1336659,680038,656621,342146,177734,164412,336743,174862,161881,296487,145727,150760,271028,130984,140044,30423,10996,19427,5630,3785,1845,3983,2860,1123,50219,33090,17129,85614,22302,63312,17612,4393,13219,17195,4530,12665,17379,4512,12867,15819,4064,11755,15002,3655,11347,27,12,15,5,1,4,2575,1135,1440,22941,11490,11451,7939,3720,4219,11103,5493,5610,939,274,665,32,20,12,-,-,-,-,-,-,-,-,-,2928,1983,945,1010952,517021,493931,239395,124032,115363,236208,121872,114336,246656,122691,123965,236893,116348,120545,9422,3277,6145,1731,1108,623,1409,967,442,39238,26726,12512,183401,105084,78317,70368,40707,29661,66433,38895,27538,25816,14192,11624,13265,6967,6298,1764,987,777,747,408,339,25,6,19,4983,2922,2061,33751,24141,9610,6832,4882,1950,5804,4072,1732,5697,4058,1639,5019,3585,1434,4235,3077,1158,3125,2257,868,2544,1886,658,495,324,171
98學年,未滿16歲,14967,3422,11545,14840,3401,11439,127,21,106,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,14967,3422,11545,14840,3401,11439,127,21,106,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
98學年,16至未滿17歲,16676,4175,12501,2537,865,1672,14023,3289,10734,116,21,95,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,16671,4172,12499,2532,862,1670,14023,3289,10734,116,21,95,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,3,2,5,3,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
98學年,17至未滿18歲,17893,4765,13128,1185,550,635,2692,1017,1675,13927,3188,10739,89,10,79,-,-,-,-,-,-,-,-,-,-,-,-,16869,4294,12575,173,89,84,2681,1008,1673,13926,3187,10739,89,10,79,-,-,-,-,-,-,-,-,-,-,-,-,37,18,19,37,18,19,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,987,453,534,975,443,532,11,9,2,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
98學年,18至未滿19歲,180201,86467,93734,163114,81808,81306,1357,670,687,2944,1094,1850,12649,2880,9769,137,15,122,-,-,-,-,-,-,-,-,-,16012,4160,11852,38,28,10,254,149,105,2934,1088,1846,12649,2880,9769,137,15,122,-,-,-,-,-,-,-,-,-,2812,1225,1587,2784,1211,1573,28,14,14,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,161377,81082,80295,160292,80569,79723,1075,507,568,10,6,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
98學年,19至未滿20歲,229982,112828,117154,54022,28894,25128,159509,79604,79905,1554,654,900,2726,1007,1719,12155,2665,9490,-,-,-,-,-,-,16,4,12,15244,3872,11372,11,4,7,62,37,25,288,160,128,2716,1002,1714,12155,2665,9490,-,-,-,-,-,-,12,4,8,5800,2886,2914,1396,775,621,4398,2111,2287,2,-,2,-,-,-,-,-,-,-,-,-,-,-,-,4,-,4,208938,106070,102868,52615,28115,24500,155049,77456,77593,1264,494,770,10,5,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
98學年,20至未滿21歲,213470,105857,107613,10551,6141,4410,52665,27904,24761,143934,69166,74768,1834,784,1050,2374,805,1569,19,8,11,-,-,-,2093,1049,1044,4085,1532,2553,4,2,2,23,13,10,56,24,32,247,116,131,2372,804,1568,19,8,11,-,-,-,1364,565,799,3554,1897,1657,529,258,271,2072,1108,964,224,47,177,-,-,-,-,-,-,-,-,-,-,-,-,729,484,245,205827,102426,103401,10014,5879,4135,50570,26783,23787,143654,69095,74559,1587,668,919,2,1,1,-,-,-,-,-,-,-,-,-,4,2,2,4,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
98學年,21至未滿22歲,213687,105470,108217,4586,2687,1899,13343,7492,5851,58800,30752,28048,134854,63329,71525,281,143,138,6,3,3,1,-,1,1816,1064,752,1171,567,604,1,-,1,13,7,6,27,12,15,65,29,36,249,130,119,6,3,3,1,-,1,809,386,423,2054,1160,894,301,151,150,792,421,371,154,39,115,-,-,-,-,-,-,-,-,-,-,-,-,807,549,258,210166,103577,106589,3992,2370,1622,12534,7064,5470,58619,30701,27918,134789,63300,71489,32,13,19,-,-,-,-,-,-,200,129,71,296,166,130,292,166,126,4,-,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
98學年,22至未滿23歲,109310,62495,46815,21294,13227,8067,5147,2930,2217,13922,7829,6093,51078,26781,24297,1846,839,1007,35,24,11,2,-,2,15986,10865,5121,373,168,205,4,3,1,7,4,3,12,6,6,27,16,11,54,22,32,2,1,1,2,-,2,265,116,149,1126,648,478,227,124,103,405,205,200,62,23,39,-,-,-,-,-,-,-,-,-,-,-,-,432,296,136,88655,49761,38894,2180,1342,838,4464,2563,1901,13846,7798,6048,51051,26765,24286,1792,817,975,33,23,10,-,-,-,15289,10453,4836,19119,11890,7229,18846,11730,7116,271,158,113,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,37,28,9,37,28,9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
98學年,23至未滿24歲,65420,39652,25768,13727,8505,5222,18725,11716,7009,5376,2973,2403,14455,7937,6518,1704,718,986,640,394,246,29,18,11,10764,7391,3373,105,54,51,-,-,-,2,1,1,3,3,-,16,6,10,13,8,5,-,-,-,2,1,1,69,35,34,782,440,342,176,87,89,309,162,147,38,12,26,-,-,-,-,-,-,-,-,-,-,-,-,259,179,80,36384,21544,14840,1431,906,525,2483,1504,979,5242,2907,2335,14439,7931,6508,1691,710,981,640,394,246,27,17,10,10431,7175,3256,27940,17454,10486,11936,7372,4564,15907,10030,5877,92,50,42,-,-,-,-,-,-,-,-,-,-,-,-,5,2,3,209,160,49,184,140,44,24,19,5,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
98學年,24至未滿25歲,45577,27317,18260,8376,5166,3210,14827,9316,5511,7867,4527,3340,6176,3089,3087,1285,520,765,561,354,207,470,321,149,6015,4024,1991,56,31,25,1,1,-,-,-,-,5,3,2,4,2,2,8,6,2,-,-,-,-,-,-,38,19,19,708,404,304,189,110,79,284,140,144,41,16,25,1,1,-,-,-,-,-,-,-,-,-,-,193,137,56,20490,11802,8688,1178,730,448,1940,1246,694,3607,1984,1623,6145,3074,3071,1277,514,763,561,354,207,470,321,149,5312,3579,1733,23210,14222,8988,6112,3631,2481,12410,7782,4628,4191,2509,1682,25,11,14,-,-,-,-,-,-,-,-,-,472,289,183,1113,858,255,896,694,202,193,148,45,23,15,8,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-
98學年,25至未滿26歲,31919,19365,12554,5655,3439,2216,8632,5466,3166,7101,4159,2942,5959,3401,2558,550,163,387,154,101,53,432,312,120,3436,2324,1112,18,10,8,3,1,2,-,-,-,3,3,-,1,1,-,4,2,2,-,-,-,-,-,-,7,3,4,638,367,271,174,78,96,298,175,123,34,12,22,1,1,-,-,-,-,-,-,-,-,-,-,131,101,30,14114,8510,5604,1024,631,393,1482,958,524,2989,1714,1275,4757,2762,1995,546,161,385,154,101,53,432,312,120,2730,1871,859,15473,9193,6280,3678,2151,1527,6178,3806,2372,3867,2265,1602,1182,622,560,-,-,-,-,-,-,-,-,-,568,349,219,1676,1285,391,776,578,198,674,527,147,208,165,43,18,15,3,-,-,-,-,-,-,-,-,-,-,-,-
98學年,26至未滿27歲,24099,14230,9869,4277,2533,1744,5791,3548,2243,5653,3335,2318,5573,3157,2416,506,124,382,71,41,30,213,144,69,2015,1348,667,12,5,7,1,1,-,-,-,-,-,-,-,3,1,2,5,1,4,-,-,-,-,-,-,3,2,1,574,328,246,177,91,86,273,161,112,42,15,27,-,-,-,-,-,-,-,-,-,-,-,-,82,61,21,11043,6489,4554,849,558,291,1355,854,501,2608,1474,1134,3930,2239,1691,495,121,374,70,41,29,213,144,69,1523,1058,465,10234,5706,4528,2631,1441,1190,3462,2002,1460,2295,1280,1015,1438,757,681,3,1,2,-,-,-,-,-,-,405,225,180,2236,1702,534,619,442,177,701,531,170,708,566,142,202,160,42,3,1,2,1,-,1,-,-,-,2,2,-
98學年,27至未滿28歲,20036,11545,8491,3543,2061,1482,4504,2613,1891,4353,2441,1912,5422,3121,2301,646,277,369,48,22,26,64,37,27,1456,973,483,15,8,7,-,-,-,-,-,-,4,3,1,1,-,1,4,2,2,-,-,-,-,-,-,6,3,3,512,287,225,174,94,80,236,136,100,37,13,24,2,2,-,-,-,-,-,-,-,-,-,-,63,42,21,8845,5091,3754,690,441,249,956,622,334,2163,1154,1009,3404,1924,1480,474,142,332,42,19,23,64,37,27,1052,752,300,8219,4309,3910,2179,1163,1016,2797,1505,1292,1546,812,734,1367,659,708,4,2,2,-,-,-,-,-,-,326,168,158,2445,1850,595,500,363,137,515,350,165,603,459,144,648,536,112,164,131,33,6,3,3,-,-,-,9,8,1
98學年,28至未滿29歲,17519,9813,7706,3272,1845,1427,3816,2098,1718,3767,1995,1772,4392,2436,1956,1003,580,423,165,127,38,28,14,14,1076,718,358,5,1,4,1,-,1,3,1,2,-,-,-,-,-,-,1,-,1,-,-,-,-,-,-,-,-,-,482,263,219,163,90,73,232,132,100,35,12,23,2,1,1,-,-,-,-,-,-,-,-,-,50,28,22,7292,4001,3291,543,340,203,779,474,305,1935,988,947,2743,1476,1267,460,136,324,49,29,20,27,13,14,756,545,211,7203,3615,3588,2148,1120,1028,2420,1222,1198,1330,654,676,1037,480,557,12,7,5,-,-,-,-,-,-,256,132,124,2537,1933,604,417,295,122,382,269,113,467,341,126,610,479,131,530,437,93,116,98,18,1,1,-,14,13,1
98學年,29至未滿30歲,14859,8070,6789,2960,1607,1353,3110,1715,1395,3103,1514,1589,3478,1800,1678,926,528,398,397,324,73,103,80,23,782,502,280,4,1,3,1,1,-,-,-,-,3,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,437,234,203,183,95,88,199,108,91,20,6,14,3,2,1,-,-,-,-,-,-,-,-,-,32,23,9,5802,3048,2754,503,282,221,564,360,204,1512,718,794,2275,1181,1094,387,116,271,33,22,11,40,24,16,488,345,143,6291,3052,3239,1947,989,958,2042,1033,1009,1196,541,655,823,360,463,34,8,26,-,-,-,-,-,-,249,121,128,2325,1735,590,326,240,86,305,214,91,372,249,123,377,257,120,505,404,101,364,302,62,63,56,7,13,13,-
