學年別,縣市別,總計計,總計國立,總計直轄市立,總計縣市立,總計私立,初級部計,初級部國立,初級部直轄市立,初級部縣市立,初級部私立,高級部1年級計,高級部1年級國立,高級部1年級直轄市立,高級部1年級縣市立,高級部1年級私立,高級部2年級計,高級部2年級國立,高級部2年級直轄市立,高級部2年級縣市立,高級部2年級私立
101學年,臺北市,75,-,75,-,-,24,-,24,-,-,25,-,25,-,-,26,-,26,-,-
101學年,臺中市,80,-,80,-,-,28,-,28,-,-,24,-,24,-,-,28,-,28,-,-
101學年,臺南市,51,-,51,-,-,17,-,17,-,-,16,-,16,-,-,18,-,18,-,-
101學年,高雄市,64,-,64,-,-,18,-,18,-,-,24,-,24,-,-,22,-,22,-,-
101學年,宜蘭縣,25,-,-,25,-,7,-,-,7,-,10,-,-,10,-,8,-,-,8,-
101學年,桃園縣,57,-,-,57,-,18,-,-,18,-,19,-,-,19,-,20,-,-,20,-
101學年,新竹縣,9,-,-,9,-,4,-,-,4,-,3,-,-,3,-,2,-,-,2,-
101學年,苗栗縣,19,-,-,19,-,6,-,-,6,-,5,-,-,5,-,8,-,-,8,-
101學年,彰化縣,10,-,-,10,-,3,-,-,3,-,2,-,-,2,-,5,-,-,5,-
101學年,南投縣,8,-,-,8,-,2,-,-,2,-,3,-,-,3,-,3,-,-,3,-
101學年,雲林縣,22,-,-,22,-,7,-,-,7,-,9,-,-,9,-,6,-,-,6,-
101學年,嘉義縣,8,-,-,8,-,1,-,-,1,-,4,-,-,4,-,3,-,-,3,-
101學年,屏東縣,28,-,-,28,-,8,-,-,8,-,8,-,-,8,-,12,-,-,12,-
101學年,臺東縣,5,-,-,5,-,1,-,-,1,-,2,-,-,2,-,2,-,-,2,-
101學年,花蓮縣,9,-,-,9,-,3,-,-,3,-,3,-,-,3,-,3,-,-,3,-
101學年,澎湖縣,3,-,-,3,-,1,-,-,1,-,-,-,-,-,-,2,-,-,2,-
101學年,基隆市,29,-,-,29,-,7,-,-,7,-,10,-,-,10,-,12,-,-,12,-
101學年,新竹市,9,-,-,9,-,4,-,-,4,-,3,-,-,3,-,2,-,-,2,-
101學年,嘉義市,3,-,-,3,-,1,-,-,1,-,1,-,-,1,-,1,-,-,1,-
101學年,金門縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
101學年,連江縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
100學年,總計,747,-,482,265,-,242,-,155,87,-,249,-,160,89,-,256,-,167,89,-
100學年,新北市,198,-,198,-,-,63,-,63,-,-,66,-,66,-,-,69,-,69,-,-
100學年,臺北市,75,-,75,-,-,25,-,25,-,-,26,-,26,-,-,24,-,24,-,-
100學年,臺中市,82,-,82,-,-,25,-,25,-,-,28,-,28,-,-,29,-,29,-,-
100學年,臺南市,53,-,53,-,-,17,-,17,-,-,17,-,17,-,-,19,-,19,-,-
100學年,高雄市,74,-,74,-,-,25,-,25,-,-,23,-,23,-,-,26,-,26,-,-
100學年,宜蘭縣,25,-,-,25,-,10,-,-,10,-,8,-,-,8,-,7,-,-,7,-
100學年,桃園縣,64,-,-,64,-,19,-,-,19,-,22,-,-,22,-,23,-,-,23,-
100學年,新竹縣,8,-,-,8,-,3,-,-,3,-,2,-,-,2,-,3,-,-,3,-
100學年,苗栗縣,21,-,-,21,-,7,-,-,7,-,7,-,-,7,-,7,-,-,7,-
100學年,彰化縣,10,-,-,10,-,2,-,-,2,-,5,-,-,5,-,3,-,-,3,-
100學年,南投縣,9,-,-,9,-,3,-,-,3,-,3,-,-,3,-,3,-,-,3,-
100學年,雲林縣,23,-,-,23,-,8,-,-,8,-,6,-,-,6,-,9,-,-,9,-
100學年,嘉義縣,8,-,-,8,-,4,-,-,4,-,3,-,-,3,-,1,-,-,1,-
100學年,屏東縣,29,-,-,29,-,8,-,-,8,-,12,-,-,12,-,9,-,-,9,-
100學年,臺東縣,6,-,-,6,-,2,-,-,2,-,2,-,-,2,-,2,-,-,2,-
100學年,花蓮縣,10,-,-,10,-,4,-,-,4,-,3,-,-,3,-,3,-,-,3,-
100學年,澎湖縣,5,-,-,5,-,1,-,-,1,-,2,-,-,2,-,2,-,-,2,-
100學年,基隆市,34,-,-,34,-,10,-,-,10,-,12,-,-,12,-,12,-,-,12,-
100學年,新竹市,10,-,-,10,-,5,-,-,5,-,1,-,-,1,-,4,-,-,4,-
100學年,嘉義市,3,-,-,3,-,1,-,-,1,-,1,-,-,1,-,1,-,-,1,-
100學年,金門縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
100學年,連江縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
99學年,總計,780,-,127,653,-,273,-,41,232,-,507,-,86,421,-,-,-,-,-,-
99學年,臺北市,75,-,75,-,-,26,-,26,-,-,49,-,49,-,-,-,-,-,-,-
99學年,高雄市,52,-,52,-,-,15,-,15,-,-,37,-,37,-,-,-,-,-,-,-
99學年,臺北縣,203,-,-,203,-,76,-,-,76,-,127,-,-,127,-,-,-,-,-,-
99學年,宜蘭縣,24,-,-,24,-,8,-,-,8,-,16,-,-,16,-,-,-,-,-,-
99學年,桃園縣,69,-,-,69,-,22,-,-,22,-,47,-,-,47,-,-,-,-,-,-
99學年,新竹縣,9,-,-,9,-,2,-,-,2,-,7,-,-,7,-,-,-,-,-,-
99學年,苗栗縣,22,-,-,22,-,8,-,-,8,-,14,-,-,14,-,-,-,-,-,-
99學年,臺中縣,51,-,-,51,-,17,-,-,17,-,34,-,-,34,-,-,-,-,-,-
99學年,彰化縣,12,-,-,12,-,5,-,-,5,-,7,-,-,7,-,-,-,-,-,-
99學年,南投縣,14,-,-,14,-,7,-,-,7,-,7,-,-,7,-,-,-,-,-,-
99學年,雲林縣,25,-,-,25,-,9,-,-,9,-,16,-,-,16,-,-,-,-,-,-
99學年,嘉義縣,10,-,-,10,-,4,-,-,4,-,6,-,-,6,-,-,-,-,-,-
99學年,臺南縣,34,-,-,34,-,13,-,-,13,-,21,-,-,21,-,-,-,-,-,-
99學年,高雄縣,33,-,-,33,-,9,-,-,9,-,24,-,-,24,-,-,-,-,-,-
99學年,屏東縣,30,-,-,30,-,11,-,-,11,-,19,-,-,19,-,-,-,-,-,-
99學年,臺東縣,5,-,-,5,-,3,-,-,3,-,2,-,-,2,-,-,-,-,-,-
99學年,花蓮縣,9,-,-,9,-,3,-,-,3,-,6,-,-,6,-,-,-,-,-,-
99學年,澎湖縣,7,-,-,7,-,3,-,-,3,-,4,-,-,4,-,-,-,-,-,-
99學年,基隆市,34,-,-,34,-,12,-,-,12,-,22,-,-,22,-,-,-,-,-,-
99學年,新竹市,9,-,-,9,-,3,-,-,3,-,6,-,-,6,-,-,-,-,-,-
99學年,臺中市,33,-,-,33,-,10,-,-,10,-,23,-,-,23,-,-,-,-,-,-
99學年,嘉義市,3,-,-,3,-,1,-,-,1,-,2,-,-,2,-,-,-,-,-,-
99學年,臺南市,17,-,-,17,-,6,-,-,6,-,11,-,-,11,-,-,-,-,-,-
99學年,金門縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
99學年,連江縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
98學年,總計,805,-,123,682,-,292,-,40,252,-,513,-,83,430,-,-,-,-,-,-
98學年,臺北市,75,-,75,-,-,24,-,24,-,-,51,-,51,-,-,-,-,-,-,-
