學年別,學門別,總計計,總計男,總計女,教授計,教授男,教授女,副教授計,副教授男,副教授女,助理教授計,助理教授男,助理教授女,講師計,講師男,講師女,其他計,其他男,其他女,助教計,助教男,助教女
103學年,數學及統計學門,781,603,178,304,244,60,285,213,72,162,127,35,19,15,4,5,2,3,6,2,4
103學年,電算機學門,2035,1612,423,291,246,45,693,572,121,711,567,144,299,197,102,36,29,7,5,1,4
103學年,工程學門,9284,8563,721,3545,3377,168,3252,2996,256,1816,1614,202,566,500,66,61,56,5,44,20,24
103學年,建築及都市規劃學門,536,416,120,81,72,9,191,151,40,185,133,52,62,47,15,17,13,4,-,-,-
103學年,農業科學學門,908,671,237,336,271,65,309,224,85,205,146,59,48,25,23,6,4,2,4,1,3
103學年,獸醫學門,128,103,25,58,49,9,35,30,5,28,20,8,3,2,1,3,1,2,1,1,-
103學年,醫藥衛生學門,5903,2786,3117,1273,899,374,1449,837,612,1546,771,775,1053,209,844,546,69,477,36,1,35
103學年,社會服務學門,863,293,570,83,42,41,222,77,145,355,123,232,167,41,126,36,10,26,-,-,-
103學年,民生學門,3534,2100,1434,345,286,59,931,602,329,1226,724,502,679,264,415,352,224,128,1,-,1
103學年,運輸服務學門,275,223,52,52,47,5,104,89,15,86,63,23,22,15,7,6,6,-,5,3,2
103學年,環境保護學門,90,64,26,25,20,5,42,32,10,19,10,9,3,2,1,1,-,1,-,-,-
103學年,軍警國防安全學門,20,19,1,2,2,-,9,9,-,5,5,-,4,3,1,-,-,-,-,-,-
103學年,其他學門,4669,2484,2185,389,290,99,968,546,422,822,458,364,1198,542,656,1198,630,568,94,18,76
102學年,總計,50024,32528,17496,11259,9051,2208,15099,10369,4730,13578,8366,5212,6771,3096,3675,2985,1568,1417,332,78,254
102學年,教育學門,1580,759,821,551,324,227,566,269,297,371,131,240,58,29,29,27,6,21,7,-,7
102學年,藝術學門,1170,587,583,321,174,147,356,167,189,292,140,152,104,44,60,86,61,25,11,1,10
102學年,人文學門,4438,1947,2491,789,456,333,1349,555,794,1457,601,856,642,239,403,172,89,83,29,7,22
102學年,設計學門,1711,1183,528,141,120,21,387,304,83,628,408,220,376,220,156,177,129,48,2,2,-
102學年,社會及行為科學學門,1861,1206,655,566,407,159,679,452,227,540,317,223,28,14,14,27,15,12,21,1,20
102學年,傳播學門,690,409,281,117,69,48,218,122,96,231,136,95,74,44,30,46,38,8,4,-,4
102學年,商業及管理學門,6073,3816,2257,1072,867,205,2074,1347,727,2019,1185,834,791,357,434,99,59,40,18,1,17
102學年,法律學門,556,405,151,186,152,34,202,143,59,145,91,54,12,9,3,11,10,1,-,-,-
102學年,生命科學學門,1197,819,378,422,306,116,366,248,118,368,248,120,22,5,17,9,8,1,10,4,6
102學年,自然科學學門,1338,1120,218,639,574,65,377,313,64,263,205,58,13,6,7,18,12,6,28,10,18
102學年,數學及統計學門,785,609,176,294,237,57,289,219,70,167,127,40,21,17,4,8,7,1,6,2,4
102學年,電算機學門,2146,1719,427,282,242,40,711,592,119,748,604,144,361,248,113,39,32,7,5,1,4
102學年,工程學門,9512,8779,733,3415,3261,154,3319,3056,263,1972,1764,208,689,611,78,67,63,4,50,24,26
102學年,建築及都市規劃學門,546,425,121,73,64,9,198,164,34,188,132,56,64,49,15,22,16,6,1,-,1
102學年,農業科學學門,901,664,237,317,256,61,311,229,82,207,146,61,54,26,28,7,6,1,5,1,4
102學年,獸醫學門,125,101,24,59,50,9,33,29,4,27,19,8,3,2,1,2,-,2,1,1,-
