學年別,縣市別,副學士總計計,副學士總計男,副學士總計女,副學士國立計,副學士國立男,副學士國立女,副學士直轄市立計,副學士直轄市立男,副學士直轄市立女,二年制學士總計計,二年制學士總計男,二年制學士總計女,二年制學士國立計,二年制學士國立男,二年制學士國立女,二年制學士直轄市立計,二年制學士直轄市立男,二年制學士直轄市立女,四年制學士總計計,四年制學士總計男,四年制學士總計女,四年制學士國立計,四年制學士國立男,四年制學士國立女,四年制學士直轄市立計,四年制學士直轄市立男,四年制學士直轄市立女
99學年,臺中市,812,286,526,812,286,526,-,-,-,854,220,634,854,220,634,-,-,-,-,-,-,-,-,-,-,-,-
99學年,臺南市,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
99學年,高雄市,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,512,292,220,-,-,-,512,292,220
99學年,宜蘭縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
99學年,桃園縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
99學年,新竹縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
99學年,苗栗縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
99學年,彰化縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
99學年,南投縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
99學年,雲林縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
99學年,嘉義縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
99學年,屏東縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
99學年,臺東縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
