學年別,縣市別,總計計,總計1年級,總計2年級,總計3年級,國立計,國立1年級,國立2年級,國立3年級,直轄市立計,直轄市立1年級,直轄市立2年級,直轄市立3年級,縣市立計,縣市立1年級,縣市立2年級,縣市立3年級,私立計,私立1年級,私立2年級,私立3年級
97學年,彰化縣,255,87,85,83,191,64,63,64,-,-,-,-,23,10,9,4,41,13,13,15
97學年,南投縣,86,31,28,27,54,18,18,18,-,-,-,-,16,6,5,5,16,7,5,4
97學年,雲林縣,213,70,70,73,105,35,35,35,-,-,-,-,33,11,11,11,75,24,24,27
97學年,嘉義縣,63,21,21,21,33,11,11,11,-,-,-,-,9,3,3,3,21,7,7,7
97學年,臺南縣,323,109,105,109,143,50,46,47,-,-,-,-,24,8,8,8,156,51,51,54
97學年,高雄縣,327,110,109,108,179,60,60,59,-,-,-,-,111,37,37,37,37,13,12,12
97學年,屏東縣,226,75,75,76,150,50,50,50,-,-,-,-,45,15,15,15,31,10,10,11
97學年,臺東縣,23,7,8,8,20,6,7,7,-,-,-,-,-,-,-,-,3,1,1,1
97學年,花蓮縣,123,41,41,41,78,26,26,26,-,-,-,-,6,2,2,2,39,13,13,13
97學年,澎湖縣,27,9,9,9,27,9,9,9,-,-,-,-,-,-,-,-,-,-,-,-
97學年,基隆市,173,58,57,58,114,38,38,38,-,-,-,-,36,12,12,12,23,8,7,8
97學年,新竹市,199,67,66,66,129,43,43,43,-,-,-,-,43,15,14,14,27,9,9,9
97學年,臺中市,441,146,147,148,261,87,87,87,-,-,-,-,72,24,24,24,108,35,36,37
97學年,嘉義市,162,54,54,54,111,37,37,37,-,-,-,-,-,-,-,-,51,17,17,17
97學年,臺南市,370,126,123,121,207,69,69,69,-,-,-,-,21,7,7,7,142,50,47,45
97學年,金門縣,30,10,10,10,30,10,10,10,-,-,-,-,-,-,-,-,-,-,-,-
97學年,連江縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
""
